company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_business_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"Angelini Plastering, Inc.",Light gauge metal framing; insulation; gypsum board; all phases of plastering; acoustical plaster; EIFS; BASWAphon; drywall; GFRG   ,WBE,SBE,,No,No,"304 Main Street, North Reading, MA 1864",North Reading,MA,1864,Jodi Angelini,Ms. Jodi Angelini,(978) 664-3836,(978) 664-0771,jangelini@angeliniplastering.com,,Corporation,Yes,01/01/1981,21 - 40,"PL - Plastering, Drywall Contractors",,,238310 - Drywall and Insulation Contractors ,,,30110000 - Concrete and cement and plaster,,
"Anvil Steel Engineering, Inc.","All facets of iron work including but not limited to:  structural bridges, precast, reinforcing and welding.  This is a Disabled Veteran Owned Small Business Enterprise (SDVOSB).   ",MBE,SBE,SVOB,No,No,"256 Prospect Hill Street, Taunton, MA 02780",Taunton,MA,02780,Lamont Davis,,(617) 799-1614,(508) 880-0301,anvilsteelinc@gmail.com,www.anvilsteelinc.com,Corporation,Yes,01/01/2014,Less than 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",GC - General Contractors,WE - Welding (see also FB),237990 - Other Heavy and Civil Engineering Construction ,238120 - Structural Steel and Precast Concrete Contractors ,,72150000 - Specialized trade construction and maintenance services,,
"Archipelago Strategies Group, Inc.",Marketing; advertisement production; public relations; social media management; branding; website design; event planning; management consulting   ,MWBE,SLBE,,Yes,Yes,"1828 Centre Street, Boston, MA 02132",Boston,MA,02132,Josiane Martinez,,(617) 419-6989,,josiane@discoverasg.com,https://discoverasg.com/,Corporation,No,01/01/2013,41 - 100,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COM - Consultants: Management,,541613 - Marketing Consulting Services ,541820 - Public Relations Agencies,,82100000 - Advertising,82140000 - Graphic design,
ARQ Architects,Architectural Services   ,WBE,SBE,,No,No,"1 Government Street, #2, Kittery, ME 3904",Kittery,ME,3904,Lucinda Schlaffer,"Lucinder Schlaffer, Partner",(207) 439-5289,(207) 439-9531,lucy@arqarchitects.com,www.arqarchitects.com,Partnership,No,01/01/1985,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,541310 - Architectural Services,541410 - Interior Design Services,,81100000 - Professional engineering services,,
"Arrow Event Management, LLC",Event management services,WBE,SBE,,No,Yes,"70 Clyde Street, Newton, MA 02460",Newton,MA,02460,Emily Olson,,(773) 710-1042,,emily@arrow-events.com,,Limited Liability Company,No,01/01/2018,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,,561920 - Convention and Trade Show Organizers,541618 - Other Management Consulting Services ,,90150000 - Entertainment services,90120000 - Travel facilitation,
Artistic Explosions,Photography; video production   ,MBE,SLBE,,Yes,No,"90A Hemman Street, Roslindale, MA 2131",Roslindale,MA,2131,Donald Rockhead,,(617) 461-5868,,photo@donrockphoto.com,,Sole Proprietorship,No,01/01/2008,Less than 10,PG - Photography,,,"541921 - Photography Studios, Portrait ",541922 - Commercial Photography ,,,,
"ATANE Engineers, PC dba ATANE Consulting",Engineering; Architecture; Material Testing   ,MBE,SLBE,,Yes,Yes,"56 Roland Street, Suite 202, Boston, MA 02129",Boston,MA,02129,Quaiser Hashmi,Mr. Quaiser Hashmi,(212) 747-1997,(212) 747-1947,qhashmi@ataneconsulting.com,ataneconsulting.com,Corporation,No,01/01/2010,Greater than 100,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541330 - Engineering Services,541310 - Architectural Services,237990 - Other Heavy and Civil Engineering Construction ,81100000 - Professional engineering services,,
"Atelier et Alia, LLC",Residential and commercial architectural services   ,WBE,SBE,,No,Yes,"1275 Washington Street, West Newton, MA 2465",West Newton,MA,2465,Kristen Giannattasio,,(617) 960-0788,,kg@atelieretalia.com,,Limited Liability Company,No,01/01/2016,Less than 10,AE - Architects/Engineers,,,541310 - Architectural Services,541410 - Interior Design Services,,,,
Atlas True Value Hardware,"Hardware, paint, electrical, lawn and garden, plumbing, cleaning supplies   ",MBE,SLBE,,No,No,"1871 Centre Street, West Roxbury, MA 2132",West Roxbury,MA,2132,Albert Meranda,,(617) 325-9494,(617) 325-7446,atlastruevalue@msn.com,,Sole Proprietorship,Yes,01/01/1981,Less than 10,SU - Suppliers,RT - Retail Sales of Art & Framing,,444130 - Hardware Stores ,,,31160000 - Hardware,,
Barry Jones and Associates,"Flooring sales and installation:  carpet, vinyl, wood, ceramic   ",MBE,SBE,,No,No,"20 Turnstone Terrace, Stoughton, MA 2072",Stoughton,MA,2072,Barry Jones,Mr. Barry Jones,(781) 608-2542,(781) 344-5985,carpetbarry@yahoo.com,,Sole Proprietorship,Yes,01/01/2008,Less than 10,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,,238330 - Flooring Contractors,442210 - Floor Covering Stores ,,52100000 - Floor coverings,,
"Bay State Water Works Supply, Inc.",Distributor of water and sewer supplies   ,WBE,SBE,,Yes,No,"96 Taylor Street, P.O. Box 2276, Littleton, MA 1460",Littleton,MA,1460,Nicole Correnti,,(978) 486-8854,(978) 486-8806,baystatewater@aol.com,,Corporation,Yes,01/01/1989,Less than 10,SU - Suppliers,,,423510 - Metal Service Centers and Other Metal Merchant Wholesalers ,,,,,
Best Painters,Interior and Exterior Painting   ,MBE,SBE,,No,No,"19 Hill Street, West Springfield, MA 01089",West Springfield,MA,01089,Daniel Santiago,,(413) 887-8696,,bstpainters@yahoo.com,,Sole Proprietorship,Yes,01/01/2013,Less than 10,PA - Painting and Papering Contractors,,,238320 - Painting and Wall Covering Contractors,,,31210000 - Paints and primers and finishes,,
Biddy Hair Salon LLC,"All hair, make-up, and facial beauty services",MWBE,SLBE,,No,Yes,"273 Meridian Street, East Boston, MA 2128",East Boston,MA,2128,Ines Biddy,,(617) 567-1064,,biddysalon@gmail.com,,Sole Proprietorship,No,01/01/2003,Less than 10,RT - Retail Sales of Art & Framing,,,812112 - Beauty Salons ,812111 - Barber Shops ,812113 - Nail Salons ,,,
"Black Owned Bos, LLC","Retail, marketing, and consulting",MWBE,SLBE,,No,No,"9 Williams Street, #210, Boston, MA 2119",Boston,MA,2119,Jae'da Turner,,(617) 823-3140,,blackownedbos@gmail.com,,Limited Liability Company,No,01/01/2020,Less than 10,COM - Consultants: Management,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,RT - Retail Sales of Art & Framing,541613 - Marketing Consulting Services ,,,,,
"Bloom Architecture, Inc.",Architectural and Interior Design Services,,SLBE,,No,Yes,"784a Tremont Street, Boston, MA 02118",Boston,MA,02118,Derek Bloom,Mr. Derek Bloom,(617) 607-4589,,derek@bloomarchitecture.com,www.BLOOMarchitecture.com,Corporation,No,01/01/2003,Less than 10,AE - Architects/Engineers,IT - Interior Deisgn Services,,541310 - Architectural Services,541410 - Interior Design Services,,82150000 - Professional artists and performers,81100000 - Professional engineering services,
"Boston s Best Bartending Services, Inc.","Provide full service bartending, fully insured and certified, (no products supplied)   ",WBE,SBE,,No,Yes,"42 Temple Street, Newburyport, MA 1950",Newburyport,MA,1950,Dianna Kinosian,Dianna Kinosian President,(978) 465-2227,(610) 887-1444,bostonsbestbar@aol.com,,Corporation,No,01/01/2001,Less than 10,CT - Catering,,,722320 - Caterers,,,90100000 - Restaurants and catering,,
"Boston-Studio, Inc.","Design services, community engagement, development, architecture, art, education and landscape architecture   ",WBE,SLBE,,Yes,No,"8 Highland Park Avenue, Boston, MA 2119",Boston,MA,2119,Jessica Leete,"Jessica Leete, Owner",(415) 497-9598,,jsmleete@gmail.com,,Corporation,No,01/01/2018,Less than 10,"LD - Landscaping (Design, Architects)",COD - Consultants: Design,"ED - Education (see also OS, TA)",541320 - Landscape Architectural Services,611430 - Professional and Management Development Training ,541310 - Architectural Services,81100000 - Professional engineering services,77100000 - Environmental management,77110000 - Environmental protection
"Bountyful Provisions Company, LLC","Wholesale food distributor, milk, eggs, cheese domestic and international",MBE,SLBE,,Yes,Yes,"95 Ruthven Street, 1st Floor, Boston, MA 02121",Boston,MA,02121,Levi Fears,,(617) 959-6913,617-8188,levi@bountyfulprovisions.com,https://www.bountyfulprovisions.com/,Limited Liability Company,No,,Less than 10,"FD - Food Products, Services","FD - Food Products, Services",SU - Suppliers,424410 - General Line Grocery Merchant Wholesalers ,424470 - Meat and Meat Product Merchant Wholesalers ,112310 - Chicken Egg Production ,73130000 - Food and beverage industries,,
"Bryant Associates, Inc.","Civil, structural and traffic engineering; surveying and construction management   ",MBE,SLBE,,Yes,Yes,"90 Canal Street, Suite 301, Boston, MA 2114",Boston,MA,2114,Jeffrey Bryant,,(617) 248-0300,(617) 248-0212,jcbryant@bryant-engrs.com,www.bryant-engrs.com,Corporation,No,01/01/1976,41 - 100,EG - Civil/Structural Engineering,"AS - Architectural Support Services, Surveying","COA - Consultants: Architecture, Engineering",541330 - Engineering Services,541370 - Surveying and Mapping (except Geophysical) Services,"237310 - Highway, Street, and Bridge Construction ",81100000 - Professional engineering services,,
"C&D Electronics, Inc.","Distributor of electrical/mechanical components, lighting, cameras, and access control   ",MBE,SBE,,Yes,No,"28 Appleton Street, Holyoke, MA 1040",Holyoke,MA,1040,Tiffany Cutting Madru,President,(413) 493-1206,(413) 493-1212,mcutting@cdindustries.com,www.cdindustries.com,Corporation,No,01/01/1982,21 - 40,SU - Suppliers,,,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423690 - Other Electronic Parts and Equipment Merchant Wholesalers ,,39130000 - Electrical wire management devices and accessories and supplies,32130000 - Electronic hardware and component parts and accessories,
"Calloway Graphix, Printing and Marketing, Inc.",Graphic design; printing and marketing   ,MBE,SLBE,,No,Yes,"361 Newbury Street, Suite 404, Boston, MA 2115",Boston,MA,2115,Terryl Calloway,Terryl Calloway,(888) 538-3834,(888) 603-9305,jobs@callowaygraphix.com,,Corporation,No,01/01/1998,Less than 10,PT - Printers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,323111 - Commercial Printing (except Screen and Books) ,,,82140000 - Graphic design,82121500 - Printing Services,
Carol s Lighting & Supply Company,"Procurement, supplier, and distribution of electrical supplies and lighting fixtures and consulting services   ",MWBE,SBE,,No,No,"55 Shawmut Road, Unit #3, Canton, MA 2021",Canton,MA,2021,Carol Ford,,(888) 822-7657,(781) 499-2511,carol@carolslightingsupply.com,,Sole Proprietorship,No,01/01/2003,Less than 10,SU - Suppliers,,,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423690 - Other Electronic Parts and Equipment Merchant Wholesalers ,,39110000 - Lighting Fixtures and Accessories,,
Carroll Communications Group,"Digital Marketing, Social Media Marketing, Marketing Strategy, Lead Generation, Website Development, Media Planning and Buying.  ",MBE,SBE,,Yes,No,"P.O. Box 401, Milton, MA 2186",Milton,MA,2186,Marc Carroll,,(781) 248-2125,,mcarroll@carrollcommunications.net,carrollcommunications.net,Sole Proprietorship,No,01/01/2008,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,,541810 - Advertising Agencies,541830 - Media Buying Agencies,541613 - Marketing Consulting Services ,82100000 - Advertising,80140000 - Marketing and distribution,82140000 - Graphic design
"CDW Consultants, Inc.","Environmental Engineering, LSP Services, Environmental Assessment, Compliance, Permitting, Hazardous Materials Testing, Specifications, Civil Engineering, Wetlands, Stormwater, GIS, LEED AP, Resident Engineering",WBE,SBE,,Yes,Yes,"4 California Avenue, Suite 301, Framingham, MA 01701",Framingham,MA,01701,Kathleen Campbell,"Kathleen Campbell, President/CEO",(508) 875-2657,(508) 875-6617,nday@cdwconsultants.com,www.cdwconsultants.com,Corporation,No,01/01/1990,11 - 20,AE - Architects/Engineers,,,541330 - Engineering Services,541620 - Environmental Consulting Services,,81150000 - Earth science services,,
Central Electrical Specialty Corp.,Supply all commercial and industrial electrical materials   ,WBE,SBE,,Yes,No,"130 Ford Street, P.O. Box 7040, Brockton, MA 2303",Brockton,MA,2303,Kristin Stadelmann,Ms. Kristin Stadelmann,(508) 586-4000,(508) 580-2970,kristin@centralelectrical.com,,Corporation,Yes,01/01/1988,Less than 10,SU - Suppliers,,,444190 - Other Building Material Dealers ,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",,39130000 - Electrical wire management devices and accessories and supplies,39120000 - Electrical equipment and components and supplies,26120000 - Electrical wire and cable and harness
"CERO Cooperative, Inc.",Organic Waste Collection; Organic Waste Hauling,MWBE,SLBE,,Yes,Yes,"PO Box 220231, Dorchester, MA 02122",Dorchester,MA,02122,Josefina Luna,,(617) 379-1234,,support@cero.coop,,Corporation,No,01/01/2013,Less than 10,TK - Trucking (Waste Disposal Commodities Transport),,,562111 - Solid Waste Collection ,,,11140000 - Scrap and waste materials,,
Chaps Building Management & Maintenance,"Janitorial services, landscaping and painting   ",MWBE,SLBE,,No,Yes,"DBA Services, Inc., 35 Oakwood Street, Dorchester, MA 2124",Dorchester,MA,2124,Pele James,"Pele James, Owner",(617) 265-0622,(617) 265-2280,jbaird@chapsservices.com,,Corporation,No,01/01/1994,41 - 100,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",PA - Painting and Papering Contractors,561720 - Janitorial Services ,561740 - Carpet and Upholstery Cleaning Services,238320 - Painting and Wall Covering Contractors,76110000 - Cleaning and janitorial services,,
City Golf Boston,"Indoor golf training center, offering golf instruction, corporte events and retail merchandise ",,SLBE,,No,Yes,"167 Milk Street, Boston, MA 2108",Boston,MA,2108,Gary Parker,,(617) 357-4653,(617) 695-2549,info@citygolfboston.com,,Sole Proprietorship,No,,Less than 10,TA - Training (see also ED),"ED - Education (see also OS, TA)",RT - Retail Sales of Art & Framing,451110 - Sporting Goods Stores ,,,,,
"Clark Construction Group, Ltd.",General contractor; structural steel fabricator and erection; misc. metal fabricator and installer of miscellaneous ornamental iron and light structural steel; installer of stainless steel railing systems,MBE,SLBE,,No,No,"92 Arlington Avenue, Charlestown, MA 02129",Charlestown,MA,02129,Oscar Clark,Mr. Oscar Clark,(617) 241-7990,,clarkconstrgroup@aol.com,,Corporation,Yes,01/01/1992,Less than 10,"FB - Fabricators (Metals, Plastics)",GC - General Contractors,,236220 - Commercial and Institutional Building Construction ,332312 - Fabricated Structural Metal Manufacturing ,332999 - All Other Miscellaneous Fabricated Metal Product Manufacturing ,30130000 - Structural building products,,
"Cleary Consultants, Inc.",Full service executive search and staffing firm--administrative finance and all office support personnel   ,WBE,SLBE,,Yes,Yes,"21 Merchants Row, Boston, MA 02109",Boston,MA,02109,Mary Cleary,,(617) 367-7189,(617) 367-3202,mc@clearyconsultants.com,www.clearyconsultants.com,Corporation,No,01/01/1981,Less than 10,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",COG - Consultants: Human Resources,561311 - Employment Placement Agencies ,561320 - Temporary Help Services,561312 - Executive Search Services ,80160000 - Business administration services,80110000 - Human resources services,81100000 - Professional engineering services
Coastal Construction and Management Company,Interior drywall/gypsum; construction cleaning; janitorial services   ,MBE,SLBE,,No,Yes,"97 Turner Street, Brockton, MA 2305",Brockton,MA,2305,Lucner Charles,,(617) 990-6507,(617) 990-6507,coastallcharles@yahoo.com,,Corporation,Yes,01/01/2006,Less than 10,"PL - Plastering, Drywall Contractors","JA - Janitorial Services/Supplies (see also MA, RS)",,238310 - Drywall and Insulation Contractors ,238390 - Other Building Finishing Contractors,561720 - Janitorial Services ,,,
Coastal Marine Construction LLC,"Marine construction company:  heavy civil/marine construction for public and private sector clients, including pile driving, marine demolition, dock and pier rehabilitation and construction, sheet pile driving, marine salvage, earth support and emergency    ",WBE,SBE,,Yes,Yes,"960 Turnpike Street, Suite 1C, Canton, MA 2021",Canton,MA,2021,Seana Kelley,,(339) 502-8667,(339) 502-8669,seana@coastalmc.net,,Limited Liability Company,Yes,01/01/2013,41 - 100,"MR - Marine Contractors: Diving Services, Underwater Repair/Welding",,,237990 - Other Heavy and Civil Engineering Construction ,237110 - Water and Sewer Line and Related Structures Construction ,,,,
Comfort Essentials,"Supply products to the hospitality and healthcare industry:  bed linens, blankets, bath towels, soaps, tablecloths, etc.   ",MWBE,SLBE,,No,Yes,"911 Washington Street, Boston, MA 2124",Boston,MA,2124,Elaine Peart,,(617) 265-7695,,sales@gocomfortessentials.com,,Sole Proprietorship,No,01/01/2009,Less than 10,SU - Suppliers,,,,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers ,,52120000 - Bedclothes and table and kitchen linen and towels,,
"Common Sense Environmental, Inc.","Licensed Site Professional (LSP) Services, asbestos inspection, Planned and Emergency Environmental Assessment, Phase I, Phase II,  Asbestos Inspection, Subsurface Investigation, Storage Tank Closure,  Direct Oversight and Mgt of Emergency Responses to Spills of Oil/Hazardous Materials, Third Party Review of Assessment and Remediation Approach and Costs, waste water license, Planning, Design and Implementation of Site Remediation,  Remediation System Operation, Maintenance, and Optimization, Spill Prevention Control and Countermeasure (SPCC) Plans, Storm water Pollution Prevention (SWPP) Plans, Tier II Audits and Submittals, Permitting, RCRA Compliance and Waste Inventories, and RCRA Employee Training, Environmental Sampling, Preparation of Pre-Demolition Plans, tank removal oversite, Water Sampling for Compliance with NPDES, RGP, SWPP Permits/Regulations, Sampling for Waste Characterization, Profiling, and Disposal, Groundwater and Drinking Water Sampling and Indoor Air and Soil Gas Sampling, and Vapor Intrusion Evaluation ",WBE,SBE,,Yes,Yes,"38 Elm Street, New Bedford, MA 02740",New Bedford,MA,02740,Cynthia Gilchrest,Cynthia Gilchrest,(508) 858-5606,(508) 858-5508,cynthia@commonsenseenv.com,www.CommonSenseEnv.com,Corporation,No,03/15/1999,Less than 10,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",AB - Asbestos Control,AE - Architects/Engineers,541620 - Environmental Consulting Services,541330 - Engineering Services,"541990 - All Other Professional, Scientific, and Technical Services",81100000 - Professional engineering services,77100000 - Environmental management,77130000 - Pollutants tracking and monitoring and rehabilitation services
"Conan Harris & Associates, LLC",Diversity and inclusion; executive coaching; capacity building; strategic planning; technical assistance,MBE,SLBE,,No,No,"119 Blake Street, Boston, MA 2136",Boston,MA,2136,Conan Harris,,(617) 999-0179,,conanharris77@gmail.com,,Limited Liability Company,No,01/01/2019,Less than 10,COM - Consultants: Management,TA - Training (see also ED),,813319 - Other Social Advocacy Organizations ,813410 - Civic and Social Organizations ,813910 - Business Associations ,,,
"Consulting Diversified, Inc.",Property management services; real estate development; staff training and related services   ,MBE,SLBE,,No,No,"15 Parker Street, Hyde Park, MA 2136",Hyde Park,MA,2136,Rodney DeLeaver,,(617) 851-5479,(617) 361-2765,rdeleavercdi@aol.com,,Corporation,No,01/01/1996,Less than 10,COM - Consultants: Management,"RE - Real Estate (Development, Management, Sales and Appraisals)",HO - Housing Advocacy,531311 - Residential Property Managers ,,,,,
"Conventures, Inc.",Public relations; communications; special events; event planning;  meeting planners; marketing   management,WBE,SLBE,,Yes,Yes,"88 Black Falcon Avenue, Suite 202, Boston, MA 2210",Boston,MA,2210,Dusty Rhodes,,(617) 204-4204,(617) 391-3204,drhodes@conventures.com,,Corporation,No,01/01/1977,21 - 40,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,,"711310 - Promoters of Performing Arts, Sports, and Similar Events with Facilities ",,,,,
